gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,contrast,contrast_name,pct_cells_neoplastic,pct_cells_normal,pct_cells_smm_neoplastic,pct_cells_nbm_normal,patient_prevalence,recurrence_n_samples,recurrence_frac,recurrence_denom,recurrence_smm_n,recurrence_smm_denom,mgus_coverage_n,mgus_coverage_frac,mgus_coverage_denom,smm_coverage_n,smm_coverage_frac,smm_coverage_denom,mm_coverage_n,mm_coverage_frac,mm_coverage_denom,smmh_coverage_n,smmh_coverage_frac,smmh_coverage_denom,smml_coverage_n,smml_coverage_frac,smml_coverage_denom,mm_retained
MSANTD3,16.218130504335956,-0.31658689805492757,0.31873893985910967,-0.9932482620255517,0.3205889841070193,0.5528772792780746,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.04850431851695808,0.03526691077278859,0.04228730118656905,0.0355917667238422,0.8260869565217391,2,0.18181818181818182,11,1,5,1,0.3333333333333333,3,2,0.16666666666666666,12,4,0.5,8,1,0.1111111111111111,9,1,0.3333333333333333,3,True
MURC,1.2471056774053928,0.3937508366010876,0.873211781615508,0.45092249657078454,0.6520454089417467,0.8161616731896242,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.005951127027596377,0.002119868953555598,0.0035344609946983086,0.002251286449399657,0.43478260869565216,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
BAAT,0.16376973813690301,1.0373759190372573,1.907028350143408,0.5439750903332125,0.5864586143640276,,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0004739835685696229,0.00028907303912121797,0.0007573844988639232,0.00032161234991423673,0.08695652173913043,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
MRPL50,103.68720512752125,0.1779131768608562,0.21473407896667326,0.8285279063155521,0.4073715975568839,0.6332319445749541,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.262850221192332,0.16390441318173057,0.2438778086341833,0.16037735849056603,1.0,6,0.5454545454545454,11,3,5,2,0.6666666666666666,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
ZNF189,12.3298965493657,0.7646551556945134,0.31821461190797284,2.402954255022238,0.016263221709213006,0.09149802981431021,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.03876132294080472,0.020427828097899402,0.043549608684675584,0.01972555746140652,0.782608695652174,1,0.09090909090909091,11,1,5,0,0.0,3,2,0.16666666666666666,12,4,0.5,8,1,0.1111111111111111,9,1,0.3333333333333333,3,True
ALDOB,1.2247720566978657,-0.9585327628972632,0.9235412118044922,-1.0378884565686046,0.2993219883016641,0.5311910071544764,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0008953022961870655,0.0028907303912121796,0.0012623074981065387,0.003001715265866209,0.21739130434782608,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
RNF20,22.895330439448134,0.7957011798679952,0.23195543769553664,3.4304053734339606,0.0006026801391012299,0.009583375346213585,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.059827259321676846,0.034014260936596645,0.07182529664226206,0.0315180102915952,0.9130434782608695,5,0.45454545454545453,11,3,5,2,0.6666666666666666,3,9,0.75,12,5,0.625,8,6,0.6666666666666666,9,3,1.0,3,True
SMC2-AS1,0.467588329472305,3.061286299580964,2.3066949631251856,1.3271309594544018,0.18446536567173444,,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0028439014114177374,0.0,0.0023983842464024236,0.0,0.2608695652173913,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
SMC2,26.117197621353203,0.5261289477287074,0.26676150241738916,1.9722821432663031,0.048577406937780156,0.1801813299647175,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.07915525595112703,0.04259009443052611,0.08646806362029791,0.041380789022298456,0.9565217391304348,7,0.6363636363636364,11,2,5,2,0.6666666666666666,3,9,0.75,12,7,0.875,8,8,0.8888888888888888,9,1,0.3333333333333333,3,True
NIPSNAP3A,18.352143598174198,0.6692943966105483,0.3106578201006094,2.1544424550258903,0.031205490190325993,0.13599623635494493,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.06388245207499474,0.029967238388899597,0.05932845241100732,0.028623499142367066,0.9130434782608695,5,0.45454545454545453,11,3,5,1,0.3333333333333333,3,6,0.5,12,7,0.875,8,3,0.3333333333333333,9,3,1.0,3,True
NIPSNAP3B,8.005027869464595,1.9555678826325473,0.5225185545124622,3.7425807480792654,0.00018213997624568165,0.0038989778531726286,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.018327364651358754,0.0046251686259394876,0.020323150719515275,0.0046097770154373925,0.782608695652174,0,0.0,11,0,5,0,0.0,3,4,0.3333333333333333,12,1,0.125,8,3,0.3333333333333333,9,1,0.3333333333333333,3,False
ABCA1,6.736727589384158,4.024699331719712,1.054471577114657,3.816792618282294,0.00013519771254701056,0.0031104457122526513,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.023699178428481148,0.0015417228753131624,0.016536228225195657,0.0013936535162950257,0.6086956521739131,0,0.0,11,0,5,0,0.0,3,1,0.08333333333333333,12,2,0.25,8,0,0.0,9,1,0.3333333333333333,3,True
