names,scores,logfoldchanges,pvals,pvals_adj
GLTPD2,0.051197983,0.80677146,0.9591677587918332,1.0
SLC1A3,0.051197983,0.80677146,0.9591677587918332,1.0
GRIK1-AS1,0.051197983,0.80677146,0.9591677587918332,1.0
GNRH1,0.051197983,0.80677146,0.9591677587918332,1.0
RP11-697E2.6,0.051197983,0.80677146,0.9591677587918332,1.0
PTGES2-AS1,0.051197983,0.80677146,0.9591677587918332,1.0
AMPH,0.051186465,0.54366803,0.9591769384259131,1.0
MFSD13A,0.051084224,0.11293306,0.95925840791543,1.0
ESCO1,0.050961822,0.021950966,0.9593559423708891,1.0
RP11-15A1.7,0.05060758,0.20402387,0.9596382219827765,1.0
KB-68A7.1,0.05042182,0.22385406,0.9597862486821847,1.0
RP11-348N5.7,0.05042182,0.22385406,0.9597862486821847,1.0
RP11-996F15.2,0.05025622,0.2986209,0.9599182116375761,1.0
ZFP92,0.05025622,0.2986209,0.9599182116375761,1.0
RP11-793H13.10,0.05009062,0.4506229,0.9600501756912293,1.0
ERBB2,0.05001358,0.12877081,0.960111568037317,1.0
RP4-575N6.4,0.049927898,1.035621,0.9601798457841443,1.0
RCAN2,0.049927898,1.035621,0.9601798457841443,1.0
RP11-6N17.2,0.049925018,0.9360475,0.9601821408395346,1.0
DMD,0.049925018,0.9360475,0.9601821408395346,1.0
PLAC8L1,0.049925018,0.9360475,0.9601821408395346,1.0
RP11-173P15.10,0.049925018,0.9360475,0.9601821408395346,1.0
RNF128,0.049925018,0.9360475,0.9601821408395346,1.0
RP11-428J1.4,0.049925018,0.9360475,0.9601821408395346,1.0
RP11-10C24.2,0.049925018,0.9360475,0.9601821408395346,1.0
LCT,0.049925018,0.9360475,0.9601821408395346,1.0
EHHADH,0.049347576,0.107431345,0.9606423060857737,1.0
ZNF23,0.049148854,0.22822602,0.9608006702334972,1.0
RP11-795F19.1,0.049148854,0.22822602,0.9608006702334972,1.0
PINK1-AS,0.048993334,0.0702418,0.9609246084718139,1.0
RP11-387H17.4,0.048983254,0.30926165,0.9609326415383985,1.0
ZNF66,0.048983254,0.30926165,0.9609326415383985,1.0
SPX,0.04882413,0.5437637,0.9610594497573007,1.0
RP11-1020A11.2,0.048817653,0.4823252,0.9610646139138107,1.0
BMP8A,0.048817653,0.4823252,0.9610646139138107,1.0
CFAP73,0.048817653,0.4823252,0.9610646139138107,1.0
HLA-DRB5,0.048709653,0.84316814,0.9611506834293176,1.0
IL10,0.048654214,1.2442002,0.9611948659565457,1.0
RP11-367J11.2,0.048652053,1.1286851,0.9611965873561235,1.0
LINC01123,0.048652053,1.1286851,0.9611965873561235,1.0
LRRD1,0.048652053,1.1286851,0.9611965873561235,1.0
RP5-1142A6.2,0.048652053,1.1286851,0.9611965873561235,1.0
RP11-680G24.6,0.048652053,1.1286851,0.9611965873561235,1.0
CTD-2017F17.1,0.048652053,1.1286851,0.9611965873561235,1.0
RP11-210K20.2,0.048652053,1.1286851,0.9611965873561235,1.0
FAM157B,0.048652053,1.1286851,0.9611965873561235,1.0
PRSS50,0.048652053,1.1286851,0.9611965873561235,1.0
CATSPERD,0.048652053,1.1286851,0.9611965873561235,1.0
RP11-295M18.6,0.048652053,1.1286851,0.9611965873561235,1.0
RP11-242J7.1,0.048652053,1.1286851,0.9611965873561235,1.0
PI16,0.048652053,1.1286851,0.9611965873561235,1.0
CLUL1,0.048652053,1.1286851,0.9611965873561235,1.0
RP11-547D24.3,0.048652053,1.1286851,0.9611965873561235,1.0
RP11-540K16.1,0.048652053,1.1286851,0.9611965873561235,1.0
CTD-2655K5.1,0.048652053,1.1286851,0.9611965873561235,1.0
AC096649.2,0.048652053,1.1286851,0.9611965873561235,1.0
CATSPERG,0.04840437,0.061113127,0.9613939757053365,1.0
NCAPG2,0.04809909,0.03866346,0.9616372715764999,1.0
RARA-AS1,0.04809765,0.06898552,0.961638419207017,1.0
TRIM72,0.04787589,0.23302053,0.9618151552538668,1.0
RP1-199J3.7,0.04771029,0.32132798,0.9619471346949411,1.0
CTD-2260A17.3,0.047556207,0.6523195,0.9620699338940498,1.0
SPATA4,0.047544688,0.5209991,0.9620791151787703,1.0
SPDYE16,0.047544688,0.5209991,0.9620791151787703,1.0
SLC26A4,0.047544688,0.5209991,0.9620791151787703,1.0
LINC00843,0.047544688,0.5209991,0.9620791151787703,1.0
AC004895.4,0.047544688,0.5209991,0.9620791151787703,1.0
TRPC4,0.047380526,1.588146,0.9622099490318577,1.0
SPRY2,0.047380526,1.588146,0.9622099490318577,1.0
RP11-321E2.3,0.047380526,1.588146,0.9622099490318577,1.0
RP11-95M15.1,0.047380526,1.588146,0.9622099490318577,1.0
CTD-2616J11.9,0.047379088,1.4506047,0.9622110967017432,1.0
SLFNL1,0.047379088,1.4506047,0.9622110967017432,1.0
SLC6A12,0.047379088,1.4506047,0.9622110967017432,1.0
RP11-255C15.3,0.047379088,1.4506047,0.9622110967017432,1.0
KB-1410C5.2,0.047379088,1.4506047,0.9622110967017432,1.0
C5orf47,0.047379088,1.4506047,0.9622110967017432,1.0
MIR1539,0.047379088,1.4506047,0.9622110967017432,1.0
RP11-36B15.1,0.047379088,1.4506047,0.9622110967017432,1.0
RP11-799M12.2,0.047379088,1.4506047,0.9622110967017432,1.0
RP11-11C20.3,0.047379088,1.4506047,0.9622110967017432,1.0
FAM221B,0.047379088,1.4506047,0.9622110967017432,1.0
RP11-79N23.1,0.047379088,1.4506047,0.9622110967017432,1.0
