gene,sig_tissues,n_sig_tissues,lymphoid_fdr,tier
TTYH2,spinal cord,1,,3_vital
TTYH3,cerebellum,1,,3_vital
TUB,retina,1,,3_vital
TUBA1A,spinal cord,1,,3_vital
TUBA1B,cerebral cortex,1,,3_vital
TUBA1C,esophagus,1,,2_restricted
TUBA3C,testis,1,,1b_testis_CT
TUBA3D,testis,1,,1b_testis_CT
TUBA3E,testis,1,,1b_testis_CT
TUBA4A,"skeletal muscle, tongue",2,,3_vital
TUBA4B,"choroid plexus, fallopian tube",2,,3_vital
TUBA8,skeletal muscle,1,,3_vital
TUBAL3,"duodenum, small intestine",2,,2_restricted
TUBB,thymus,1,0.007867972118100943,1a_lymphoid
TUBB1,bone marrow,1,2.0375607405565094e-13,1a_lymphoid
TUBB2A,"cerebral cortex, hypothalamus",2,,3_vital
TUBB2B,spinal cord,1,,3_vital
TUBB3,hypothalamus,1,,3_vital
TUBB4A,"cerebellum, spinal cord",2,,3_vital
TUBB4B,"choroid plexus, testis",2,,3_vital
TUBB6,,0,,4_broad
TUBB8,"ovary, testis",2,,2_restricted
TUBB8B,testis,1,,1b_testis_CT
TUBD1,,0,,4_broad
TUBE1,"cerebellum, liver",2,,3_vital
TUBG1,testis,1,,1b_testis_CT
TUBG2,cerebral cortex,1,,3_vital
TUBGCP2,,0,,4_broad
TUBGCP3,bone marrow,1,6.361419700692442e-08,1a_lymphoid
TUBGCP4,"cerebellum, retina",2,,3_vital
TUBGCP5,testis,1,,1b_testis_CT
TUBGCP6,cerebellum,1,,3_vital
TUFM,"skeletal muscle, tongue",2,,3_vital
TUFT1,skin,1,,2_restricted
TUG1,,0,,4_broad
TULP1,retina,1,,3_vital
TULP2,testis,1,,1b_testis_CT
TULP3,ovary,1,,2_restricted
TULP4,spinal cord,1,,3_vital
TUNAR,basal ganglia,1,,3_vital
TUSC1,,0,,4_broad
TUSC2,cerebral cortex,1,,3_vital
TUSC3,choroid plexus,1,,3_vital
TUT1,liver,1,,3_vital
TUT4,retina,1,,3_vital
TUT7,liver,1,,3_vital
TVP23A,,0,,4_broad
TVP23B,,0,,4_broad
TVP23C,bone marrow,1,0.009780312386541404,1a_lymphoid
TVP23C-CDRT4,choroid plexus,1,,3_vital
TWF1,,0,,4_broad
TWF2,,0,,4_broad
TWIST1,"adipose tissue, breast",2,,2_restricted
TWIST2,cervix,1,,2_restricted
TWNK,"skeletal muscle, tongue",2,,3_vital
TWSG1,smooth muscle,1,,2_restricted
TXK,lymph node,1,7.507802558114292e-05,1a_lymphoid
TXLNA,liver,1,,3_vital
TXLNB,"skeletal muscle, tongue",2,,3_vital
TXLNG,,0,,4_broad
TXN,esophagus,1,,2_restricted
TXN2,"adrenal gland, tongue",2,,3_vital
TXNDC11,bone marrow,1,0.03737827304843687,1a_lymphoid
TXNDC12,,0,,4_broad
TXNDC15,choroid plexus,1,,3_vital
TXNDC16,prostate,1,,2_restricted
TXNDC17,esophagus,1,,2_restricted
TXNDC2,testis,1,,1b_testis_CT
TXNDC5,,0,,4_broad
TXNDC8,testis,1,,1b_testis_CT
TXNDC9,,0,,4_broad
TXNIP,tongue,1,,2_restricted
TXNL1,"skeletal muscle, thyroid gland, tongue",3,,3_vital
TXNL4A,,0,,4_broad
TXNL4B,ovary,1,,2_restricted
TXNRD1,"adrenal gland, urinary bladder",2,,3_vital
TXNRD2,liver,1,,3_vital
TXNRD3,testis,1,,1b_testis_CT
TYK2,"liver, spleen",2,0.006773604904573077,3_vital
TYMP,"lung, spleen",2,0.02635519599691381,3_vital
TYMS,"bone marrow, thymus",2,9.295723826331844e-07,1a_lymphoid
TYR,skin,1,,2_restricted
TYRO3,"cerebral cortex, ovary",2,,3_vital
TYROBP,"bone marrow, spleen",2,1.2794283959861464e-06,1a_lymphoid
TYRP1,skin,1,,2_restricted
TYSND1,testis,1,,1b_testis_CT
TYW1,skeletal muscle,1,,3_vital
TYW1B,choroid plexus,1,,3_vital
TYW3,,0,,4_broad
TYW5,retina,1,,3_vital
U2AF1,"bone marrow, thymus",2,0.03130479456957041,1a_lymphoid
U2AF1L4,,0,,4_broad
U2AF2,bone marrow,1,0.008268738677670799,1a_lymphoid
U2SURP,"bone marrow, retina",2,1.707076970212714e-05,3_vital
UACA,"skeletal muscle, tongue",2,,3_vital
UAP1,liver,1,,3_vital
UAP1L1,spleen,1,0.020476322600961515,1a_lymphoid
UBA1,skeletal muscle,1,,3_vital
UBA2,blood vessel,1,,2_restricted
UBA3,heart muscle,1,,3_vital
UBA5,"pancreas, salivary gland",2,,3_vital
UBA52,bone marrow,1,0.0178747662519514,1a_lymphoid
UBA6,bone marrow,1,0.012429559115835367,1a_lymphoid
UBA7,spleen,1,0.026098267322626597,1a_lymphoid
UBAC1,skeletal muscle,1,,3_vital
UBAC2,,0,,4_broad
UBALD1,,0,,4_broad
UBALD2,"bone marrow, skeletal muscle",2,2.2491239859799047e-06,3_vital
UBAP1,"bone marrow, skeletal muscle",2,6.803472174221381e-06,3_vital
UBAP1L,"cerebellum, retina",2,,3_vital
UBAP2,skeletal muscle,1,,3_vital
UBAP2L,,0,,4_broad
UBASH3A,"lymph node, thymus",2,2.242226425516944e-10,1a_lymphoid
UBASH3B,cerebellum,1,,3_vital
UBB,liver,1,,3_vital
